t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,1599,2867,127787,1764,3471,127191,-1,0,-4,1,9426,
1001,1710,2987,127866,1687,3503,127042,-2,0,-8,1,9427,0.001001
2001,1594,2975,127772,1829,3465,126949,1,0,4,1,9428,0.0009999999999999998
3000,1621,3006,127956,1699,3543,127001,1,0,4,1,9429,0.0009990000000000003
4000,1548,2888,127985,1835,3369,127191,0,0,4,1,9430,0.001
5000,1719,2958,127973,1783,3400,127073,0,0,0,1,9431,0.001
6000,1605,2935,128041,1737,3414,127101,0,0,0,1,9432,0.001
7000,1584,2957,127848,1743,3356,127106,1,0,4,1,9433,0.0009999999999999992
8001,1614,2999,127906,1694,3422,127141,0,0,0,1,9434,0.0010010000000000002
8999,1687,3051,127851,1759,3400,127089,1,0,0,1,9435,0.0009980000000000006
9999,1560,3016,127910,1792,3488,127201,0,0,4,1,9436,0.0009999999999999992
11001,1626,2862,127991,1797,3419,126964,0,0,0,1,9437,0.0010020000000000012
12000,1643,2966,127843,1747,3507,127095,0,0,0,1,9438,0.0009989999999999999
13000,1615,2901,127816,1764,3398,127093,1,0,4,1,9439,0.0009999999999999992
14000,1628,2986,127912,1716,3368,127057,0,0,0,1,9440,0.0009999999999999992
15000,1594,2909,127980,1696,3362,126999,1,0,0,1,9441,0.0010000000000000009
16001,1694,3009,127996,1837,3431,127100,0,0,4,1,9442,0.0010009999999999984
17000,1541,2941,127896,1751,3435,127148,0,0,0,1,9443,0.0009989999999999999
18000,1690,3020,127899,1764,3459,127079,-1,0,-4,1,9444,0.0010000000000000009
19002,1540,2886,127799,1770,3453,127047,1,0,4,1,9445,0.0010019999999999994
20000,1664,2961,127945,1710,3470,127112,1,0,4,1,9446,0.0009980000000000024
21000,1489,2843,127893,1789,3372,127103,1,0,4,1,9447,0.0009999999999999974
22000,1662,2933,127945,1818,3397,127073,-1,0,4,1,9448,0.0010000000000000009
22999,1669,2910,127869,1797,3427,127084,-1,0,-4,1,9449,0.0009989999999999999
24110,1634,2918,127945,1789,3538,127084,1,0,4,1,9450,0.0011110000000000009
25003,1572,3000,127904,1753,3388,127101,1,0,4,1,9451,0.000892999999999998
26027,1691,2970,127768,1758,3451,126988,0,0,0,1,9452,0.0010240000000000006
27043,1624,2942,127852,1804,3401,127040,0,0,0,1,9453,0.0010159999999999995
28005,1536,2933,127803,1741,3467,126943,-2,0,0,1,9454,0.000962000000000001
29001,1620,2967,127811,1731,3437,126958,-2,0,-8,1,9455,0.0009960000000000004
29999,1547,2905,127933,1815,3403,127027,0,0,0,1,9456,0.0009979999999999989
31000,1603,2888,127953,1835,3423,127073,1,0,4,1,9457,0.0010010000000000019
32000,1639,3034,127847,1857,3434,127012,0,0,0,1,9458,0.0010000000000000009
32999,1537,2881,127826,1832,3392,127035,-1,0,-4,1,9459,0.0009989999999999999
34000,1668,2970,127938,1750,3400,127009,0,0,-4,1,9460,0.001000999999999995
35001,1691,2843,127866,1722,3511,127068,0,0,0,1,9461,0.0010010000000000019
36000,1612,2928,127929,1698,3457,127086,0,0,0,1,9462,0.0009989999999999999
37000,1540,2893,127860,1842,3366,127054,-1,0,-4,1,9463,0.0010000000000000009
38000,1632,2879,127930,1649,3431,127103,0,0,0,1,9464,0.0010000000000000009
39000,1516,2936,127815,1806,3481,127113,1,0,4,1,9465,0.0010000000000000009
40000,1638,2886,127896,1827,3431,127032,-1,0,4,1,9466,0.0010000000000000009
41000,1659,2917,127956,1832,3423,127138,1,0,-4,1,9467,0.000999999999999994
42000,1576,2904,127946,1787,3458,126966,1,0,4,1,9468,0.0010000000000000009
42999,1585,2874,127888,1788,3409,127141,-1,0,-4,1,9469,0.0009989999999999999
44000,1657,2961,128020,1696,3467,127058,0,0,0,1,9470,0.0010010000000000019
45000,1620,2895,127861,1651,3329,127115,0,0,0,1,9471,0.0010000000000000009
46006,1727,2956,127860,1785,3346,126989,0,0,0,1,9472,0.001006
47034,1617,2935,127962,1746,3418,127120,-1,0,0,1,9473,0.0010280000000000011
47999,1643,2927,127908,1670,3435,127028,-1,1,-4,1,9474,0.0009650000000000006
48999,1524,2903,127971,1730,3463,127073,1,0,4,1,9475,0.0010000000000000009
50000,1624,3016,127877,1720,3459,126956,-1,0,-4,1,9476,0.001000999999999995
50999,1690,2987,127960,1792,3415,127093,-1,0,-4,1,9477,0.0009989999999999999
52000,1525,2964,128015,1769,3345,127141,0,0,-4,1,9478,0.0010010000000000019
53000,1614,2852,127915,1753,3426,127113,0,0,0,1,9479,0.0010000000000000009
54000,1638,2974,127979,1735,3482,127128,0,0,0,1,9480,0.0010000000000000009
55000,1553,2965,127817,1794,3373,127236,-1,0,-4,1,9481,0.0010000000000000009
56000,1697,2902,127856,1797,3514,127100,0,0,0,1,9482,0.000999999999999994
57000,1646,3009,128076,1820,3380,127160,0,0,0,1,9483,0.0010000000000000009
58007,1681,2969,127812,1816,3458,127039,0,0,0,1,9484,0.001007000000000001
59001,1621,2953,127965,1736,3418,126983,0,0,0,1,9485,0.0009940000000000018
60000,1649,2945,127971,1743,3509,127075,0,0,0,1,9486,0.0009989999999999999
61000,1619,3032,127938,1734,3419,127060,1,0,4,1,9487,0.0010000000000000009
61999,1712,3019,127937,1847,3425,127115,0,1,0,1,9488,0.0009989999999999999
63000,1631,2924,127893,1830,3471,127102,-3,1,-12,1,9489,0.0010010000000000019
64000,1610,2970,127825,1793,3454,127023,0,1,-12,1,9490,0.0010000000000000009
65000,1541,2943,127937,1781,3491,127083,1,0,0,1,9491,0.0010000000000000009
66000,1603,2917,127849,1780,3561,127122,1,0,4,1,9492,0.0010000000000000009
67000,1615,2957,127850,1705,3420,127180,0,0,0,1,9493,0.000999999999999987
68000,1532,2963,127945,1780,3490,126959,0,0,0,1,9494,0.0010000000000000009
69000,1627,2914,127885,1807,3446,127065,0,0,0,1,9495,0.0010000000000000009
70000,1612,2910,127951,1735,3449,127142,-1,0,0,1,9496,0.0010000000000000009
71000,1644,2993,127835,1809,3535,127107,-2,0,-4,1,9497,0.0010000000000000009
72000,1513,3036,127891,1733,3429,127071,-2,0,-8,1,9498,0.0010000000000000009
73000,1624,3010,128034,1827,3425,126864,0,0,0,1,9499,0.0010000000000000009
73999,1718,2949,127892,1741,3393,126974,0,0,0,1,9500,0.0009989999999999999
75000,1554,3043,127758,1805,3487,127025,0,1,0,1,9501,0.0010010000000000019
75999,1530,2985,127830,1643,3424,127034,0,1,0,1,9502,0.0009989999999999999
77000,1661,2966,127954,1649,3486,127057,0,0,0,1,9503,0.0010010000000000019
78000,1623,2946,127905,1681,3499,126941,0,0,0,1,9504,0.0010000000000000009
79000,1668,2959,127901,1695,3445,127161,-1,1,-4,1,9505,0.0010000000000000009
80000,1644,3074,127856,1684,3517,127032,1,0,4,1,9506,0.0010000000000000009
81000,1639,3016,127823,1724,3479,127058,2,0,8,1,9507,0.0010000000000000009
81999,1573,3048,127886,1764,3448,127015,-1,0,-4,1,9508,0.0009989999999999999
82999,1596,2917,127798,1691,3439,127001,-1,0,-4,1,9509,0.000999999999999987
84002,1598,3052,127851,1762,3373,127015,1,1,-4,1,9510,0.0010030000000000039
85003,1627,2969,127982,1817,3452,126999,1,0,4,1,9511,0.0010010000000000019
86001,1580,2926,127926,1669,3438,127007,0,0,0,1,9512,0.0009979999999999989
86999,1574,2932,127827,1886,3533,126973,1,1,4,1,9513,0.0009979999999999989
88001,1590,2892,127773,1819,3355,126985,0,1,0,1,9514,0.0010020000000000029
89000,1708,3079,127820,1799,3430,127077,0,1,0,1,9515,0.0009989999999999999
89999,1603,2945,127867,1824,3426,127150,1,0,0,1,9516,0.0009989999999999999
91000,1633,2940,127808,1617,3403,127062,1,0,4,1,9517,0.0010010000000000019
91999,1596,2939,127822,1723,3430,126939,1,0,4,1,9518,0.0009989999999999999
92999,1657,2951,127930,1769,3537,127053,1,0,4,1,9519,0.0010000000000000009
94000,1662,3025,127826,1821,3486,126968,1,0,4,1,9520,0.0010010000000000019
95000,1648,2918,127893,1757,3382,127091,0,0,4,1,9521,0.0010000000000000009
96000,1585,2979,127930,1776,3337,127065,0,0,0,1,9522,0.0010000000000000009
97000,1669,2919,127907,1850,3479,127082,0,0,0,1,9523,0.000999999999999987
98000,1559,2977,127939,1787,3383,127141,0,0,0,1,9524,0.0010000000000000009
99000,1586,2945,127972,1883,3400,127093,0,0,0,1,9525,0.0010000000000000009
100000,1679,2910,128014,1760,3461,127031,-1,0,-4,1,9526,0.0010000000000000009
100999,1657,2929,127897,1732,3402,127231,-2,0,-4,1,9527,0.0009989999999999999
102000,1671,2901,127956,1747,3422,127170,0,0,-8,1,9528,0.0010010000000000019
103000,1554,2911,128007,1710,3505,126950,0,0,0,1,9529,0.0010000000000000009
104000,1632,2863,127970,1727,3501,126993,-1,0,-4,1,9530,0.0010000000000000009
105000,1578,3042,127853,1687,3405,127069,0,0,0,1,9531,0.0010000000000000009
105999,1577,2949,127984,1765,3473,127011,-1,0,-4,1,9532,0.0009989999999999999
106999,1652,2901,127875,1763,3434,127158,-1,0,-4,1,9533,0.0010000000000000009
108000,1718,2840,127907,1843,3383,127065,0,0,-4,1,9534,0.0010010000000000019
109001,1629,2847,127912,1747,3385,127053,0,0,0,1,9535,0.0010010000000000019
110002,1619,2930,127923,1867,3408,126906,0,0,0,1,9536,0.001000999999999988
111001,1606,2939,127983,1735,3423,126977,-2,0,-8,1,9537,0.0009989999999999999
112000,1663,2907,127854,1602,3437,127099,0,0,0,1,9538,0.0009989999999999999
113000,1565,2915,127943,1762,3556,127056,0,0,0,1,9539,0.0010000000000000009
114000,1639,2950,127932,1671,3479,127045,1,0,0,1,9540,0.0010000000000000009
