t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,209,-8507,116921,-15914,-8977,109392,572,19175,1589,1,3534,
998,3209,-3544,126234,-10065,-7294,138278,572,19144,2343,0,3535,0.000998
1998,5884,593,118463,28529,-352,100081,412,19164,1687,0,3536,0.0009999999999999998
2998,-7092,15392,122639,-11085,8600,119126,604,19143,2474,1,3537,0.001
3998,4936,2730,125722,-21804,-4970,126615,545,19182,2232,1,3538,0.001
4998,2494,-478,116243,11503,4719,114156,546,19182,2232,1,3539,0.001
5999,824,22098,128700,1191,19658,117154,549,19149,2236,0,3540,0.0010010000000000002
6998,595,-508,122946,-13137,-10273,125519,549,19167,2249,0,3541,0.0009989999999999999
7998,-3748,1079,125785,1892,2993,135762,593,19146,2429,1,3542,0.001
8998,-9844,12957,136912,-12805,14412,126592,515,19177,2109,1,3543,0.0009999999999999992
9998,498,7436,133297,-11984,2788,126615,518,19158,2122,1,3544,0.0010000000000000009
11001,-12217,-4246,135740,2821,-12477,149115,678,19158,2122,0,3545,0.0010030000000000004
12000,1800,-4955,135510,-22592,-4467,133861,567,19180,2777,0,3546,0.0009989999999999999
12998,-4701,10568,139025,-151,7706,137650,567,19144,2322,1,3547,0.0009979999999999989
14001,2070,1489,136191,2346,-4673,139125,596,19188,2441,1,3548,0.0010030000000000004
14998,-1993,6005,136857,-11503,3146,132759,516,19160,2113,1,3549,0.0009969999999999996
15998,-6404,4522,138162,-5985,2360,140776,691,19192,2830,0,3550,0.0009999999999999992
16998,3629,1394,133948,1032,-3647,131478,549,19192,2830,0,3551,0.0010000000000000009
17998,-9180,-3516,133505,-13779,-6828,143210,700,19166,2249,1,3552,0.0010000000000000009
18998,3823,6186,135769,-5627,2742,130113,700,19185,2867,1,3553,0.0009999999999999974
19998,6551,-5461,129364,12671,-6614,131581,474,19168,1941,1,3554,0.0010000000000000009
20998,5887,-2355,131203,2339,-5259,133232,640,19175,2621,0,3555,0.0010000000000000009
21998,5474,-810,127081,-3872,-8200,131018,538,19157,2203,0,3556,0.0010000000000000009
22998,-858,-5227,123976,-2377,-2180,125599,665,19157,2203,1,3557,0.0009999999999999974
23998,3077,7302,126750,4613,6150,117931,441,19163,2724,1,3558,0.0010000000000000009
25000,12808,3517,119741,12417,594,121343,441,19175,1806,1,3559,0.0010019999999999994
25998,-1269,7599,121840,13082,7205,113157,593,19157,2429,0,3560,0.0009980000000000024
26998,19937,-5150,117176,-25335,-10990,118341,493,19162,2019,0,3561,0.0009999999999999974
27998,-1195,5779,120683,29387,2305,121210,638,19117,2613,1,3562,0.0010000000000000009
28999,9339,5458,121688,5687,-3111,120441,358,19117,1466,1,3563,0.0010009999999999984
29998,-3288,-10658,120234,-13126,-7546,113926,566,19172,1466,1,3564,0.0009990000000000034
30998,5285,2322,125321,65,-4626,126805,408,19140,2318,0,3565,0.0009999999999999974
31998,2547,5541,116610,23123,5972,111008,408,19167,1671,0,3566,0.0010000000000000009
32998,-2622,9188,120445,-26425,7335,111102,615,19137,2519,1,3567,0.0010000000000000009
33998,380,6905,125793,-9984,2657,125323,536,19191,2195,1,3568,0.0010000000000000009
