t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,2238,7407,128215,2281,4153,127147,40,19232,164,0,23993,
998,2046,4865,127300,3042,392,127133,40,19232,164,0,23994,0.000998
1998,-3408,-1138,124709,-843,-4159,126673,38,19232,164,0,23995,0.0009999999999999998
2998,2498,862,127440,-2546,-3527,127670,38,19231,156,0,23996,0.001
3998,5186,2140,126431,3627,1166,125929,35,19233,143,0,23997,0.001
4998,2436,5024,128003,5396,-100,125618,36,19231,147,0,23998,0.001
5998,32,7397,127956,-3314,1684,125747,37,19230,152,0,23999,0.001
6998,3489,249,125514,2843,-6446,128397,39,19230,152,1,24000,0.001
7998,1356,6062,126192,11858,8508,127038,37,19232,160,1,24001,0.001
8998,4136,2205,125968,-8861,-2013,122071,37,19235,152,1,24002,0.0009999999999999992
9998,370,220,128722,1239,-3120,130207,43,19230,176,1,24003,0.0010000000000000009
10998,1905,5829,127751,2190,1629,125855,43,19233,176,1,24004,0.0009999999999999992
11998,-4389,-6267,127290,-5033,-11566,127092,42,19236,172,1,24005,0.0010000000000000009
13000,3003,4446,129515,-2007,-1423,127677,38,19236,172,1,24006,0.0010019999999999994
13998,4259,109,125577,12734,-2482,125297,37,19233,156,1,24007,0.0009980000000000006
14998,-1401,5459,127989,-585,2146,127550,37,19231,152,1,24008,0.0009999999999999992
15998,3480,8616,127898,-13912,4417,123467,37,19234,152,1,24009,0.0009999999999999992
16998,900,-818,126284,150678,-4460,129698,38,19234,156,1,24010,0.0010000000000000009
17998,-1199,4706,128802,1892,2518,127497,46,19230,188,0,24011,0.0010000000000000009
18998,-931,-411,125515,-13411,-4956,126876,39,19230,188,0,24012,0.0009999999999999974
19998,2613,2644,126810,9609,138,128605,41,19235,160,0,24013,0.0010000000000000009
20998,5245,6612,125865,3255,2859,124687,42,19232,168,0,24014,0.0010000000000000009
21998,2001,1925,126977,-2766,-1653,125869,42,19233,172,0,24015,0.0010000000000000009
23000,961,3911,128250,1842,726,126790,41,19234,168,0,24016,0.0010019999999999994
23999,1790,-155,127022,2399,-3668,130171,40,19236,164,0,24017,0.0009989999999999999
24999,-1968,3733,127978,137,830,124910,37,19236,152,0,24018,0.0010000000000000009
