t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,7623,-27145,121479,-12955,-27097,128772,402,19186,1646,0,54400,
1000,-5531,20986,131992,294,14597,113947,460,19186,1646,0,54401,0.001
2000,-8230,-4309,134324,-11148,-1686,152198,338,19171,1884,1,54402,0.001
3000,4002,84721,136417,4552,86842,110308,338,19195,1384,1,54403,0.001
4000,-9999,-24670,128702,-3604,-15957,124834,422,19185,1728,1,54404,0.001
5000,873,11629,133166,-14317,-2787,138287,506,19161,2072,0,54405,0.001
6000,-5963,-20250,131537,-213,-37684,137005,429,19192,1757,0,54406,0.001
7000,2503,101225,131709,-5138,31489,144018,423,19192,1757,0,54407,0.0009999999999999992
8000,-8654,12585,118783,-11272,-22069,130586,532,19178,1732,1,54408,0.0010000000000000009
9000,-3028,29137,140969,-19532,18113,118141,532,19175,2179,1,54409,0.0009999999999999992
10000,-5725,-31377,131738,7063,-20371,135324,317,19186,1298,1,54410,0.0010000000000000009
11000,10697,-34712,121711,-332,-39540,133950,437,19176,1790,0,54411,0.0009999999999999992
12000,-2945,-4920,127714,-3042,-7166,133996,372,19197,1524,0,54412,0.0010000000000000009
13000,7537,-19839,120178,379,-26449,132469,421,19197,1524,0,54413,0.0009999999999999992
14000,3847,80567,130672,-1701,76992,113569,466,19187,1724,0,54414,0.0009999999999999992
15000,-16393,-10180,115140,-16052,-18775,125542,466,19171,1909,1,54415,0.0010000000000000009
16000,5755,18770,132828,-16054,11804,136625,625,19213,2560,1,54416,0.0010000000000000009
17000,8479,-63122,113765,35997,-71035,141399,387,19193,1585,1,54417,0.0009999999999999974
18000,29992,160599,129562,-11485,-3554,105184,480,19170,1966,0,54418,0.0010000000000000009
19000,-44429,61478,116579,-6488,-32622,92200,307,19170,1966,0,54419,0.0010000000000000009
20000,11789,21703,144219,-52297,12375,130080,434,19188,1257,0,54420,0.0010000000000000009
21000,-11527,-24396,119470,21038,-38156,113991,434,19184,1778,1,54421,0.0009999999999999974
22000,12701,-14956,121697,9958,-3126,118391,506,19224,2072,1,54422,0.0010000000000000009
23000,20996,21119,143348,30498,35656,102257,367,19180,1503,1,54423,0.0010000000000000009
24000,4445,15916,118324,-24951,12553,121752,432,19175,1769,1,54424,0.0010000000000000009
25000,4479,-72835,113499,3561,-10894,152846,553,19175,2265,0,54425,0.0009999999999999974
26000,9726,-13427,146059,6958,9381,92754,403,19205,2265,0,54426,0.0010000000000000009
27000,-16589,-19026,107126,-4947,-39336,160466,450,19184,1651,0,54427,0.0010000000000000009
28000,13895,-23604,116357,-8702,-45790,152883,450,19172,1843,1,54428,0.0009999999999999974
29000,-8474,-7033,96964,41118,-49730,85220,361,19199,1479,1,54429,0.0010000000000000009
30000,-1990,92464,154237,-20535,14227,77064,401,19180,1642,1,54430,0.0010000000000000009
31000,22516,30391,157660,-15109,-5266,92643,482,19180,1974,0,54431,0.0010000000000000009
32000,6886,-61654,131082,13770,-69511,187122,311,19174,1974,0,54432,0.0010000000000000009
33000,-16798,-20158,108325,4621,-15931,112543,423,19190,1274,0,54433,0.0010000000000000009
34002,-516,41567,142803,-10797,44456,112889,423,19185,1732,0,54434,0.001001999999999996
35002,5673,55730,154760,11546,51707,110249,508,19181,2081,1,54435,0.0010000000000000009
