t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,8315,-616,128656,10381,-187,125393,84,19234,405,0,65517,
999,16741,-81,128883,-6191,-763,125399,97,19235,344,1,65518,0.0009989999999999999
1999,6237,-441,129103,10555,-3433,131635,97,19226,397,1,65519,0.001
2999,10851,-8622,128982,-1710,-11017,135932,79,19236,324,1,65520,0.001
3999,5296,-7785,130036,-3672,5645,120295,84,19235,344,1,65521,0.001
4999,8862,11865,130002,-5382,7267,129627,108,19229,442,0,65522,0.001
5999,14225,2050,127693,10734,1558,125206,95,19229,389,0,65523,0.001
6999,-249,3961,130655,1578,-1677,129965,76,19236,389,0,65524,0.001
7999,16284,-8976,131332,-3239,-7537,127619,126,19234,311,1,65525,0.0009999999999999992
8999,565,-3415,130916,29122,-7044,137554,126,19236,516,1,65526,0.0010000000000000009
9999,2656,-13735,129259,-30198,-8530,130263,89,19235,365,1,65527,0.0009999999999999992
10999,-2340,6976,129000,-14575,15666,118753,88,19229,360,0,65528,0.0010000000000000009
12000,1072,13561,129576,-2441,6179,133099,113,19229,463,0,65529,0.0010010000000000002
12999,10887,9759,126714,-2156,9303,113069,88,19235,463,0,65530,0.0009989999999999999
13999,5680,356,128543,-5149,-13165,138900,87,19235,360,0,65531,0.0009999999999999992
14999,3260,-14425,127666,-5061,-6461,126574,87,19227,356,1,65532,0.0010000000000000009
15999,205,453,130205,-5560,-2797,133438,116,19237,475,1,65533,0.0009999999999999992
16999,2633,-4102,127918,-7518,5088,125165,82,19236,336,1,65534,0.0010000000000000009
17999,181,18815,128931,-21252,17025,113990,97,19236,397,0,65535,0.0009999999999999974
18999,8857,3181,124236,8442,-11363,137961,98,19227,397,0,0,0.0010000000000000009
19999,-2003,-6545,125047,-910,1256,119631,83,19235,401,0,1,0.0010000000000000009
20999,10709,9697,125886,-18740,4367,124105,83,19235,340,1,2,0.0010000000000000009
21999,6026,7829,127026,17092,11959,119071,117,19236,479,1,3,0.0009999999999999974
22999,10771,5666,126426,-13121,-10746,135913,89,19237,365,1,4,0.0010000000000000009
23999,8773,-17784,125777,947,-9754,128212,87,19232,356,1,5,0.0010000000000000009
24999,3094,5366,127589,6760,10836,122386,133,19232,356,0,6,0.0010000000000000009
25999,6927,6570,125908,-11571,5706,122555,90,19232,545,0,7,0.0009999999999999974
26999,10494,9951,126225,990,7789,122507,90,19236,369,0,8,0.0010000000000000009
27999,17056,-1806,124028,13262,-7410,134062,77,19233,315,1,9,0.0010000000000000009
29000,10027,-2308,123419,9203,332,114468,91,19235,373,1,10,0.0010009999999999984
30001,11867,1554,126923,-5275,-2801,130823,99,19236,405,1,11,0.0010010000000000019
