t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,8030,1720,128451,-3043,1008,127605,49,19232,201,1,18620,
1002,5883,879,128801,-5398,-222,128311,54,19240,221,0,18621,0.0010019999999999999
2000,4170,998,128627,-1618,196,128209,40,19240,164,0,18622,0.0009980000000000002
3000,8647,5,126966,2192,-430,125855,40,19235,164,0,18623,0.001
4000,10276,-2335,126195,2177,-2768,126178,42,19238,164,0,18624,0.001
5000,12383,-596,126871,1090,-2184,126732,42,19234,172,0,18625,0.001
6000,11068,3629,128345,1065,2944,125189,43,19236,176,0,18626,0.001
7000,8170,1888,128501,-2467,1532,128110,41,19240,168,0,18627,0.0009999999999999992
8000,5689,1070,128146,-2864,96,128160,37,19240,152,0,18628,0.0010000000000000009
9000,5675,130,127801,-1284,-962,127832,39,19236,152,0,18629,0.0009999999999999992
10001,9212,1584,127518,1729,304,125950,50,19235,160,1,18630,0.0010010000000000002
11000,10041,-629,126374,1367,-1128,127273,50,19236,205,1,18631,0.0009989999999999999
12000,12680,-100,127606,905,-1431,126550,44,19235,180,1,18632,0.0010000000000000009
13001,8253,1702,128393,-1348,850,127578,48,19235,197,1,18633,0.0010009999999999984
14000,5731,-332,128673,-2720,-1258,129314,41,19240,168,1,18634,0.0009989999999999999
15000,5436,1780,128246,-3529,975,126674,35,19240,168,1,18635,0.0010000000000000009
16000,7623,1511,127388,-839,1311,125832,34,19242,143,1,18636,0.0010000000000000009
17000,10358,194,126162,2393,-831,125155,34,19237,139,1,18637,0.0009999999999999974
18000,10479,-1492,126965,2240,-2928,127183,43,19236,176,1,18638,0.0010000000000000009
19000,10080,404,127749,-1246,756,126972,48,19231,197,1,18639,0.0010000000000000009
20000,7006,2647,129238,-2993,1792,127699,53,19235,217,0,18640,0.0010000000000000009
21000,5702,2014,128913,-1665,776,127479,38,19235,217,0,18641,0.0009999999999999974
22000,6648,-1758,127408,-1560,-2555,127940,39,19237,156,0,18642,0.0010000000000000009
23000,8455,-282,126928,1124,-1005,124887,39,19238,160,0,18643,0.0010000000000000009
24000,11212,1155,126509,4677,66,125678,39,19232,160,0,18644,0.0010000000000000009
25001,9794,1336,127885,-3952,1707,127314,42,19234,172,0,18645,0.0010009999999999984
26000,9219,677,127840,-2904,-318,127576,41,19233,168,0,18646,0.0009989999999999999
27000,6441,1696,128577,652,1060,128276,38,19233,168,0,18647,0.0010000000000000009
28000,5890,1828,128499,-2164,901,126203,37,19233,156,0,18648,0.0009999999999999974
29000,7399,-1563,126791,-1362,-2659,127161,37,19237,152,0,18649,0.0010000000000000009
30000,8980,778,127295,158,692,125425,44,19234,180,1,18650,0.0010000000000000009
31000,11006,2039,127350,3500,1368,124898,42,19236,172,1,18651,0.0010000000000000009
32000,10055,-588,127203,-199,-1607,127934,43,19234,176,1,18652,0.0010000000000000009
33000,6809,48,128960,-7650,-632,127811,42,19234,176,1,18653,0.0010000000000000009
34000,6418,-145,128473,2700,-1008,129544,36,19238,172,1,18654,0.000999999999999994
35001,7930,3051,128158,1695,2419,125280,36,19238,147,1,18655,0.0010010000000000019
36003,8774,389,126695,-4009,-486,124877,33,19236,135,1,18656,0.0010020000000000029
37000,10374,-1681,126330,1872,-2484,126597,36,19238,147,1,18657,0.0009969999999999979
38000,11674,2590,127785,4327,1761,126257,42,19240,172,1,18658,0.0010000000000000009
39000,7250,705,127782,-3255,-423,127646,49,19240,172,1,18659,0.0010000000000000009
40002,5230,1942,128765,-7506,1044,127336,45,19234,201,0,18660,0.001001999999999996
41000,5973,2392,128756,2507,1609,128718,45,19236,184,0,18661,0.0009979999999999989
42000,8760,-51,127070,709,-846,126183,40,19234,164,0,18662,0.0010000000000000009
43000,9434,-1572,126823,-2060,-2220,125023,38,19238,156,0,18663,0.0010000000000000009
44000,10041,-1486,127309,715,-2135,126294,43,19231,176,0,18664,0.0010000000000000009
45000,9198,715,128377,1453,-111,128978,43,19231,176,0,18665,0.0010000000000000009
46000,6344,1589,128238,-5385,856,128030,41,19240,176,0,18666,0.0010000000000000009
47000,5780,430,126809,-1418,-1408,126553,38,19237,168,0,18667,0.0010000000000000009
48000,6890,8050,128463,2300,7067,123129,38,19236,156,0,18668,0.0010000000000000009
49000,10548,-4331,126135,-2779,-3756,129153,42,19236,172,0,18669,0.000999999999999994
50000,10944,1336,127731,-230,-500,124187,52,19234,213,1,18670,0.0010000000000000009
51000,8043,-5,128556,4486,463,126940,41,19234,168,1,18671,0.0010000000000000009
52000,8230,-4378,127284,-3665,-4605,130814,45,19236,168,1,18672,0.0010000000000000009
53000,6610,-1629,128013,-781,-4983,129745,41,19238,184,1,18673,0.0010000000000000009
54000,5634,9880,127975,1660,8581,125113,41,19234,168,1,18674,0.0010000000000000009
55000,10986,5095,127371,-9735,5701,120470,37,19236,152,1,18675,0.0010000000000000009
56000,12336,-3349,127877,6779,-1205,126857,35,19235,143,1,18676,0.000999999999999994
57000,10758,-8621,125628,5431,-10752,132619,40,19235,164,1,18677,0.0010000000000000009
58000,7128,2422,128185,-4089,123,126698,47,19233,164,1,18678,0.0010000000000000009
59001,4806,1869,127607,-5670,-9,126631,51,19234,192,1,18679,0.0010010000000000019
60000,6846,10572,128552,1492,8943,123810,51,19230,209,0,18680,0.0009989999999999999
61000,7191,-324,127516,-4468,2245,128327,43,19241,176,0,18681,0.0010000000000000009
62000,12273,-3295,126438,2781,-4344,125304,40,19239,164,0,18682,0.0010000000000000009
63001,10202,-5509,127238,5494,-5774,130260,42,19233,172,0,18683,0.0010010000000000019
64003,12383,312,128728,-1016,916,125564,40,19233,172,0,18684,0.001001999999999989
65000,6820,491,127565,-1211,-952,130444,44,19237,164,0,18685,0.0009970000000000118
66000,6354,5254,128279,-1454,5763,124565,44,19234,180,0,18686,0.0010000000000000009
67000,5337,5908,126653,-1860,3640,125061,39,19233,160,0,18687,0.000999999999999987
68000,8989,1327,127052,-2973,1879,124836,39,19236,160,0,18688,0.0010000000000000009
69000,13200,1241,127830,9643,-1149,126902,46,19235,188,1,18689,0.0010000000000000009
70000,11113,-8450,127561,-1468,-8953,131635,44,19235,188,1,18690,0.0010000000000000009
71000,10048,-1592,128685,-2883,-1296,126899,46,19236,180,1,18691,0.0010000000000000009
72000,7300,-1753,128201,1552,-2306,130881,46,19236,188,1,18692,0.0010000000000000009
