t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,6542,2892,128793,-10392,1007,134375,131,19443,430,1,33213,
1012,5417,-5852,126367,1410,-5118,125992,131,19437,537,0,33214,0.0010119999999999999
2001,5615,5955,128226,-296,2905,123745,100,19448,410,0,33215,0.0009889999999999999
2999,3118,4808,130142,-9205,2785,132468,110,19451,451,0,33216,0.0009980000000000002
3999,4705,2139,126397,-1950,-1219,123878,110,19443,451,0,33217,0.001
5001,2262,-194,126891,-3482,745,128073,135,19443,451,1,33218,0.0010019999999999994
6001,5693,7663,128861,-6249,3656,124439,93,19433,553,1,33219,0.001
6999,9370,3705,126446,2114,929,125473,93,19446,381,1,33220,0.0009980000000000006
7999,5129,5147,128904,-3748,3108,127117,110,19448,451,1,33221,0.0009999999999999992
8999,6335,420,126898,1591,-4103,129524,104,19451,426,1,33222,0.0010000000000000009
9999,5124,2288,128000,-1375,294,126518,119,19439,487,1,33223,0.0009999999999999992
10999,2036,-395,127312,-10407,-2550,126790,161,19439,487,0,33224,0.0010000000000000009
11999,7157,6437,129154,-1979,3299,125173,116,19447,659,0,33225,0.0009999999999999992
13001,11166,1407,128083,4010,-1436,129879,116,19448,475,0,33226,0.0010019999999999994
13999,5695,3956,127682,-5381,99,124496,116,19449,475,0,33227,0.0009980000000000006
14999,2943,-850,126193,-2293,-2747,128082,125,19439,512,0,33228,0.0010000000000000009
15999,4309,3363,128349,-5646,5,127386,165,19441,676,1,33229,0.0009999999999999992
16999,6438,2917,126725,-1749,-580,127891,102,19441,418,1,33230,0.0010000000000000009
17999,10234,5832,128547,1262,4835,124274,97,19448,418,1,33231,0.0009999999999999974
18999,11775,-102,126537,108,-4962,127975,110,19450,397,1,33232,0.0010000000000000009
19999,3673,2160,127869,707,-1996,125830,110,19442,451,0,33233,0.0010000000000000009
20999,5277,-3343,127646,-1112,-1515,129983,111,19451,455,0,33234,0.0010000000000000009
21999,11069,5051,128710,-5388,2180,127496,117,19449,479,0,33235,0.0009999999999999974
22999,2948,8682,129886,-33,4807,125454,108,19449,442,0,33236,0.0010000000000000009
23999,9229,-1054,127271,4134,-1994,127136,106,19449,442,0,33237,0.0010000000000000009
24999,9007,-4570,125879,-2740,-9266,130428,137,19446,434,0,33238,0.0010000000000000009
25999,6389,4129,129233,477,2930,123693,137,19431,561,1,33239,0.0009999999999999974
27000,5968,2332,128113,-2688,1755,127029,140,19444,573,1,33240,0.0010010000000000019
27999,10790,2432,128176,40,-2343,130634,105,19453,430,1,33241,0.0009989999999999999
28999,5221,5369,129404,832,1784,125007,103,19453,422,1,33242,0.0009999999999999974
29999,7775,-5669,126008,-514,-6549,128866,122,19449,422,0,33243,0.0010000000000000009
31000,4142,1006,127882,-1926,-3665,128470,98,19442,500,0,33244,0.0010010000000000019
31999,10976,5948,129966,1309,4775,124877,98,19451,401,0,33245,0.0009989999999999999
32999,8130,3313,127584,-4191,1448,127425,104,19451,426,0,33246,0.0010000000000000009
33999,6503,4071,127615,833,210,126956,100,19445,410,0,33247,0.0010000000000000009
34999,6601,1910,128093,547,-680,125849,121,19453,496,1,33248,0.000999999999999994
35999,10736,-6114,128047,658,-7129,131594,102,19453,496,1,33249,0.0010000000000000009
36999,7485,-704,128367,344,-3384,129015,110,19450,418,1,33250,0.0010000000000000009
38000,9991,8434,129753,-738,6364,124220,110,19452,451,1,33251,0.0010010000000000019
38999,6773,5381,128124,-1458,2831,126748,101,19453,414,1,33252,0.0009989999999999999
40000,1987,-188,126506,-3340,-3243,128346,106,19442,434,0,33253,0.0010010000000000019
41001,5577,3428,127495,-4486,804,125506,122,19449,500,0,33254,0.001000999999999995
41999,9013,2393,128011,-1454,-771,127273,107,19449,500,0,33255,0.0009979999999999989
42999,3890,2566,128407,104,-182,126500,107,19449,438,0,33256,0.0010000000000000009
44000,9022,-136,127297,-5044,-2882,128836,107,19450,438,0,33257,0.0010010000000000019
45002,4794,1743,127640,-973,-1550,126955,119,19439,487,1,33258,0.0010020000000000029
46001,2894,4471,128127,-2857,1585,126143,116,19452,475,1,33259,0.0009989999999999999
46999,7728,4303,127629,-4478,1836,124730,99,19451,405,1,33260,0.0009979999999999989
47999,5348,4595,128621,-5712,1891,128296,100,19451,405,1,33261,0.0010000000000000009
48999,4160,76,126695,461,-2676,126748,105,19456,410,1,33262,0.0010000000000000009
49999,4543,949,126796,-2104,-1474,126752,105,19446,430,0,33263,0.000999999999999994
50999,9391,8362,128935,-2831,4950,122909,113,19457,463,0,33264,0.0010000000000000009
51999,3681,6449,126846,5367,-379,128714,110,19450,451,0,33265,0.0010000000000000009
52999,12887,5023,128911,-14509,4604,121743,105,19450,430,0,33266,0.0010000000000000009
53999,4739,-1641,129131,2111,-9826,134499,109,19450,430,0,33267,0.0010000000000000009
54999,1509,-5068,127573,7213,-6998,128889,145,19446,446,1,33268,0.0010000000000000009
55999,-980,-319,127756,-17391,167,125277,145,19437,594,1,33269,0.0010000000000000009
56999,6920,13045,128444,4686,13626,123385,100,19445,410,1,33270,0.000999999999999994
57999,5823,14957,127036,-5318,9094,121672,107,19453,438,1,33271,0.0010000000000000009
59001,7413,3464,127123,-4180,-3010,127134,107,19447,438,1,33272,0.0010020000000000029
