t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,2880,3297,127945,3124,3897,126944,18,19860,74,1,7666,
1000,2924,3297,127839,3133,3930,127008,20,19860,82,1,7667,0.001
1999,2907,3260,127980,3120,3894,127028,18,19861,74,1,7668,0.0009989999999999999
2999,2893,3268,127785,3048,3836,126954,19,19861,78,1,7669,0.001
3999,2840,3255,127865,3037,3908,126926,19,19861,78,1,7670,0.001
4999,2839,3237,127859,3162,3914,127079,19,19861,78,1,7671,0.001
5999,2977,3305,127828,3052,3938,126985,19,19860,78,1,7672,0.001
6999,2877,3191,127895,3197,3861,126957,19,19861,78,1,7673,0.001
7999,2846,3328,127886,3052,3930,126889,17,19861,70,1,7674,0.0009999999999999992
8999,2825,3215,127877,3136,3989,126835,18,19861,74,1,7675,0.0010000000000000009
9999,2949,3137,127985,3154,3988,126996,18,19861,74,1,7676,0.0009999999999999992
10999,2859,3118,127896,3102,3883,127001,18,19860,74,1,7677,0.0010000000000000009
11999,2908,3222,127967,3070,3976,127060,18,19861,74,1,7678,0.0009999999999999992
12999,2901,3181,128003,3096,3882,126982,17,19862,70,1,7679,0.0010000000000000009
13999,2886,3295,127858,3120,3893,127060,17,19860,70,1,7680,0.0009999999999999992
14999,2821,3202,127784,2956,3846,127097,18,19860,74,1,7681,0.0010000000000000009
16001,3019,3297,127907,3083,3878,127007,18,19860,74,1,7682,0.0010019999999999977
16999,2961,3151,127827,3119,3905,127018,18,19859,74,1,7683,0.0009980000000000024
17999,2922,3243,127912,3105,4032,126874,18,19859,74,1,7684,0.0009999999999999974
18999,2885,3255,127843,3006,3949,127133,18,19860,74,1,7685,0.0010000000000000009
19999,2767,3234,128039,3091,3933,126857,18,19861,74,1,7686,0.0010000000000000009
21000,2939,3217,127965,3048,3894,127012,19,19860,78,1,7687,0.0010009999999999984
22002,2933,3182,127956,3063,3969,126853,18,19860,78,1,7688,0.0010020000000000029
22999,2872,3230,127891,3056,3905,126994,19,19861,74,1,7689,0.0009969999999999979
23999,2901,3270,127875,3064,3856,126866,19,19861,78,1,7690,0.0010000000000000009
24999,2826,3162,127864,3147,3884,126885,18,19861,74,1,7691,0.0010000000000000009
26000,2938,3136,127845,3046,3925,126921,19,19859,78,1,7692,0.0010009999999999984
26999,2903,3220,127785,3046,3903,126904,17,19860,70,1,7693,0.0009989999999999999
27999,2868,3274,127859,3128,3902,126797,19,19860,70,1,7694,0.0010000000000000009
28999,2935,3208,127840,3087,4021,127018,18,19861,78,1,7695,0.0009999999999999974
29999,2884,3251,127853,3094,3998,126940,18,19862,74,1,7696,0.0010000000000000009
30999,2946,3281,127863,3158,3965,126780,18,19862,74,1,7697,0.0010000000000000009
31999,2930,3195,127851,157846,3938,126986,18,19860,74,1,7698,0.0010000000000000009
33003,2903,3171,127890,3093,3990,127065,17,19861,70,1,7699,0.001003999999999998
33999,2905,3160,127883,3131,3907,126989,18,19861,74,1,7700,0.0009960000000000038
34999,2920,3248,127878,3143,3988,126922,18,19860,74,1,7701,0.000999999999999994
35999,2952,3263,127841,3112,3880,127022,18,19861,74,1,7702,0.0010000000000000009
36999,2833,3258,127856,3087,3995,126843,18,19862,74,1,7703,0.0010000000000000009
37999,2908,3202,127849,3081,3943,126961,20,19861,82,1,7704,0.0010000000000000009
38999,2877,3285,127905,3127,4046,126968,18,19861,74,1,7705,0.0010000000000000009
39999,2893,3177,127836,3134,3996,126980,17,19861,70,1,7706,0.0010000000000000009
40999,2930,3168,128044,3053,3905,126896,18,19860,70,1,7707,0.0010000000000000009
41999,2832,3181,127803,3248,3895,126940,20,19859,74,1,7708,0.000999999999999994
42999,2974,3271,127930,3053,4001,126910,20,19860,82,1,7709,0.0010000000000000009
43999,2876,3220,127882,3073,3939,127040,19,19859,78,1,7710,0.0010000000000000009
44999,2857,3242,127971,3067,3910,126886,18,19860,74,1,7711,0.0010000000000000009
46001,2729,3119,127928,3066,3864,126899,17,19860,70,1,7712,0.0010020000000000029
46999,2849,3264,127869,3103,4008,126929,18,19861,70,1,7713,0.0009979999999999989
47999,2782,3147,127984,149654,3953,126989,18,19861,74,1,7714,0.0010000000000000009
49027,2933,3210,127998,3050,3871,126915,18,19861,74,1,7715,0.0010280000000000011
50002,2855,3176,127801,3084,3943,126964,18,19859,74,1,7716,0.0009749999999999967
50999,2843,3143,127817,3021,3902,126893,18,19860,74,1,7717,0.0009969999999999979
51999,2778,3096,127812,3005,3910,126929,18,19860,74,1,7718,0.0010000000000000009
52999,2754,3287,127963,3067,3938,126761,18,19860,74,1,7719,0.0010000000000000009
54001,2904,3208,127970,3167,3883,126978,17,19860,74,1,7720,0.0010020000000000029
55000,2860,3238,127909,3066,3949,126818,17,19860,70,1,7721,0.0009989999999999999
55999,2886,3206,128000,3126,3938,126873,18,19860,74,1,7722,0.0009989999999999999
56999,2875,3289,127871,3157,3990,126946,18,19860,74,1,7723,0.000999999999999994
57999,2908,3213,127949,3029,3889,126986,18,19861,74,1,7724,0.0010000000000000009
58999,2948,3168,128077,3129,3871,126956,20,19861,74,1,7725,0.0010000000000000009
60001,2861,3168,127774,3125,3895,126918,19,19860,82,1,7726,0.0010020000000000029
60999,3003,3228,128033,3111,3945,126977,19,19859,78,1,7727,0.0009979999999999989
62000,2919,3276,127770,3162,3915,127103,18,19862,74,1,7728,0.0010010000000000019
62999,2823,3198,127858,3153,3934,126875,18,19860,74,1,7729,0.0009989999999999999
63999,2982,3265,127992,158870,3905,126777,16,19860,66,1,7730,0.0010000000000000009
64999,2897,3232,127825,3085,3847,127015,17,19860,66,1,7731,0.0010000000000000009
65999,2966,3216,127874,3091,3958,126964,18,19860,70,1,7732,0.0010000000000000009
66999,2912,3275,127770,3165,3961,126938,18,19861,74,1,7733,0.0010000000000000009
67999,3031,3233,127875,3063,3960,126935,18,19859,74,1,7734,0.000999999999999987
69000,2886,3274,127793,3249,3856,126900,18,19861,74,1,7735,0.0010010000000000019
69999,2888,3280,127868,3116,3897,126956,16,19862,66,1,7736,0.0009989999999999999
70999,2925,3250,127874,3066,3977,126990,19,19862,66,1,7737,0.0010000000000000009
71999,2834,3208,127939,3145,3989,126806,18,19861,78,1,7738,0.0010000000000000009
72999,2903,3280,127818,3210,3842,126974,18,19860,74,1,7739,0.0010000000000000009
73999,2894,3319,127934,3094,3922,126803,19,19860,78,1,7740,0.0010000000000000009
74999,2931,3100,127752,3087,3924,126953,18,19861,74,1,7741,0.0010000000000000009
75999,2932,3197,127930,3097,3921,126915,19,19860,78,1,7742,0.0010000000000000009
77000,2842,3263,128049,3047,3874,127150,16,19860,66,1,7743,0.0010010000000000019
77999,2867,3276,127990,3074,3982,126933,20,19860,66,1,7744,0.0009989999999999999
78999,2869,3256,127853,3142,3927,126892,18,19861,82,1,7745,0.0010000000000000009
