t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,-3294,24149,135928,6777,17741,128588,87,19237,356,0,14120,
1000,-6768,-3490,129246,-14301,-11410,128598,105,19235,430,0,14121,0.001
2000,-13147,-14979,123241,-11080,-15979,130815,86,19235,352,0,14122,0.001
3000,2157,-1991,127200,5765,-592,125452,126,19235,352,1,14123,0.001
4000,-8615,7955,126997,-10599,6583,117802,81,19241,516,1,14124,0.001
5000,1547,13845,129019,-17548,3448,126225,81,19236,332,1,14125,0.001
6000,-7929,6517,124636,4701,3477,123016,76,19234,311,0,14126,0.001
7000,-13597,6375,126743,-7828,6995,124634,93,19232,381,0,14127,0.0009999999999999992
8000,-4016,1077,122793,-12233,5484,121655,85,19239,348,0,14128,0.0010000000000000009
9000,-445,13536,122088,4817,7985,121500,74,19239,348,1,14129,0.0009999999999999992
10000,6244,12838,125962,4220,11973,120604,90,19243,303,1,14130,0.0010000000000000009
11002,5526,7614,123474,5443,3282,122881,90,19233,369,1,14131,0.0010019999999999994
12000,711,3833,123450,10886,-7623,128477,90,19238,369,1,14132,0.0009980000000000006
13000,1802,-9794,123819,-2423,2173,123101,88,19231,360,0,14133,0.0009999999999999992
14000,1232,7631,126896,-1421,4166,127017,90,19240,369,0,14134,0.0009999999999999992
15001,4785,12361,124946,11932,14463,119899,80,19240,328,0,14135,0.0010010000000000002
16000,3469,18082,126763,3541,15391,117925,100,19239,328,1,14136,0.0009990000000000016
17000,8022,6542,121440,5021,-3145,128624,76,19239,410,1,14137,0.0009999999999999974
18000,6698,709,119411,15757,4787,122642,76,19238,311,1,14138,0.0010000000000000009
19001,10923,11543,125924,10538,9555,120793,62,19236,254,0,14139,0.0010010000000000019
20000,9788,6154,125737,3926,3699,125362,75,19232,307,0,14140,0.0009989999999999999
21000,5868,5552,129121,13611,379,126176,96,19232,393,0,14141,0.0009999999999999974
22003,4498,-1745,130071,10103,-6617,133138,80,19239,393,0,14142,0.0010030000000000004
23000,8471,-9271,125617,9586,-8117,131789,91,19234,328,1,14143,0.0009970000000000014
24000,8072,10454,130535,8685,14179,118293,91,19239,373,1,14144,0.0010000000000000009
25000,9365,6782,130166,15307,128,130486,76,19238,311,1,14145,0.0009999999999999974
26000,10848,-2169,127461,5825,-15473,129281,78,19232,319,0,14146,0.0010000000000000009
27000,4324,-14682,132305,11266,-21855,142323,89,19232,365,0,14147,0.0010000000000000009
28000,2318,-9247,133024,2921,-2009,127192,80,19232,365,0,14148,0.0009999999999999974
29000,3943,14730,132583,2013,13832,116853,88,19236,328,1,14149,0.0010000000000000009
30000,-2459,4504,134122,-2987,-5314,135829,88,19242,360,1,14150,0.0010000000000000009
31000,-1501,-10670,125142,7677,-10991,129219,94,19232,385,1,14151,0.0010000000000000009
32000,-5760,-10226,129790,-8630,-17842,136504,86,19231,352,1,14152,0.0010000000000000009
33000,-141,-7308,131605,-1670,-208,128532,107,19228,438,0,14153,0.0010000000000000009
34000,100,20449,134616,2665,26817,113545,97,19228,438,0,14154,0.000999999999999994
35000,-651,13979,135541,-6877,79,131486,84,19238,397,0,14155,0.0010000000000000009
36002,-1879,-12636,126307,-3134,-16147,134234,84,19231,344,1,14156,0.0010020000000000029
37000,-14723,-14377,128751,1256,-18636,133605,97,19237,397,1,14157,0.0009979999999999989
38000,-3839,-8128,132492,-10864,-9093,131703,85,19240,348,1,14158,0.0010000000000000009
39000,-7430,7304,135149,-13150,7166,126327,76,19235,311,0,14159,0.0010000000000000009
40000,-1517,18658,137629,9196,16536,127371,86,19235,311,0,14160,0.0010000000000000009
41000,-7744,-1858,127140,-16891,-11728,135776,97,19232,352,0,14161,0.000999999999999994
42000,-12436,-8334,127045,-9775,-14084,126227,97,19237,397,0,14162,0.0010000000000000009
43000,-2918,-4289,125687,3851,-2149,130076,89,19232,365,1,14163,0.0010000000000000009
44000,-8808,6866,126110,-14203,8131,122310,89,19230,365,1,14164,0.0010000000000000009
45000,-500,15807,131358,-15831,14074,119936,79,19245,324,1,14165,0.0010000000000000009
46000,-6262,2640,122588,5915,264,132146,89,19245,324,0,14166,0.0010000000000000009
