t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,7804,-4565,124860,6472,-5077,132305,83,19452,279,0,2338,
1000,21171,14613,126512,6305,12852,115766,83,19458,340,0,2339,0.001
1998,10381,3672,126175,6318,-941,125681,60,19462,246,0,2340,0.0009979999999999998
3022,10287,-13414,126300,881,-18607,133476,92,19461,377,1,2341,0.0010240000000000002
3998,12114,-18288,128547,-553,-17855,134656,76,19460,311,1,2342,0.0009759999999999999
4998,-2196,-1764,130807,6007,-4904,130437,66,19460,311,1,2343,0.001
5998,12480,5157,131402,-10780,4873,120086,92,19459,270,0,2344,0.001
6998,1337,2907,131353,1844,-651,130112,92,19457,377,0,2345,0.001
7998,6816,-172,128810,-7406,-1075,129892,81,19463,332,0,2346,0.001
8998,15003,8085,130385,-2359,5606,124499,65,19456,266,1,2347,0.0009999999999999992
10001,-8632,898,130305,4803,-2772,133583,105,19457,430,1,2348,0.0010030000000000004
10999,15689,3484,132073,-18366,615,124707,74,19457,430,1,2349,0.0009980000000000006
11998,-5617,-4793,134001,-3236,-8705,137775,74,19457,303,1,2350,0.0009989999999999999
12998,10663,-7262,131141,9630,-10428,137137,74,19449,303,0,2351,0.0009999999999999992
13998,-723,-611,132201,-21355,-3991,119206,93,19452,381,0,2352,0.0010000000000000009
14998,-2811,-7747,135301,-9754,-12228,141905,73,19458,299,0,2353,0.0009999999999999992
15998,14709,-8153,130732,1106,-9915,130198,83,19457,340,1,2354,0.0009999999999999992
16998,-12491,16163,140050,-14402,14057,131674,75,19457,340,1,2355,0.0010000000000000009
17998,5502,-2699,130777,-4791,-3061,110689,69,19458,307,1,2356,0.0010000000000000009
18998,-9056,-26615,126133,-13487,-30575,147170,69,19459,283,1,2357,0.0009999999999999974
19998,-1461,31612,136911,-14280,27103,145223,91,19443,373,0,2358,0.0010000000000000009
20998,7981,2021,118340,9853,-1438,83163,89,19455,365,0,2359,0.0010000000000000009
21998,3672,17125,141687,-40089,15435,168825,61,19455,250,0,2360,0.0010000000000000009
22998,6865,7245,118700,17558,-1222,105160,118,19455,483,1,2361,0.0009999999999999974
23998,890,-20476,123913,1240,-26816,134510,82,19448,483,1,2362,0.0010000000000000009
24998,-7448,17017,130671,-21058,12525,117369,69,19459,336,1,2363,0.0010000000000000009
25998,16869,-7026,115785,-3420,-1821,143880,69,19455,283,0,2364,0.0010000000000000009
26998,5767,1581,131425,10348,2147,121419,79,19455,324,0,2365,0.0009999999999999974
27998,12179,-3863,121234,-2958,-156,121077,70,19465,287,0,2366,0.0010000000000000009
28998,9407,-4882,124263,-3320,-5964,128277,65,19465,266,0,2367,0.0010000000000000009
29998,-1680,14499,128002,4386,12986,123450,115,19453,266,1,2368,0.0010000000000000009
30998,14137,12516,120626,2928,4623,122545,62,19455,471,1,2369,0.0009999999999999974
32001,-3926,20968,122233,-13456,13383,118624,62,19462,254,0,2370,0.0010030000000000039
32998,14783,13671,120092,6230,3675,119557,75,19457,307,0,2371,0.0009969999999999979
33998,15549,3560,118988,21208,2579,118343,79,19457,324,0,2372,0.0010000000000000009
35000,12201,4352,124878,-2839,2655,125922,55,19461,225,0,2373,0.001001999999999996
36002,24477,2625,121110,21178,3476,124341,65,19461,225,1,2374,0.0010020000000000029
37000,6054,10882,126149,-5992,8067,117550,75,19460,266,1,2375,0.0009979999999999989
37998,8241,-2073,123314,5478,-8393,129449,75,19461,307,1,2376,0.0009979999999999989
38999,11619,118,123959,5588,100,126256,60,19462,246,0,2377,0.0010010000000000019
39998,10521,-2205,127028,4455,-1049,130383,98,19458,401,0,2378,0.0009989999999999999
40998,22102,11084,125809,7070,8027,117579,72,19462,295,0,2379,0.0010000000000000009
41998,9905,9167,128165,5311,2182,123204,66,19462,295,1,2380,0.0010000000000000009
42998,11154,-18038,125125,-483,-24333,139947,66,19453,270,1,2381,0.0010000000000000009
43998,9333,-16526,129690,4006,-13877,132668,66,19458,270,1,2382,0.000999999999999994
44998,-786,-743,130889,2083,-2845,128427,67,19459,274,1,2383,0.0010000000000000009
45998,12705,8792,131603,-12166,6614,119428,76,19455,311,0,2384,0.0010000000000000009
46998,183,-1724,130339,5057,-5597,133852,88,19459,360,0,2385,0.0010000000000000009
47998,9444,729,130052,-12670,-646,129487,67,19459,360,0,2386,0.0010000000000000009
49000,10015,757,127433,3897,-1543,127683,96,19462,274,1,2387,0.001001999999999996
49998,-5529,11319,132729,20,9712,125005,96,19447,393,1,2388,0.0009980000000000058
50998,13296,1438,131301,-20548,-4788,130347,74,19454,303,1,2389,0.000999999999999994
51998,-3721,-5611,133338,2374,-7361,136904,68,19455,279,1,2390,0.0010000000000000009
52998,9489,-4172,131809,6140,-9382,134382,112,19450,459,0,2391,0.0010000000000000009
53998,-3914,-1948,132278,-27988,-3093,118224,86,19450,459,0,2392,0.0010000000000000009
54998,-874,-8678,135714,-319,-15501,144927,69,19461,352,0,2393,0.0010000000000000009
55998,12448,-11924,130837,-6203,-10919,132602,69,19454,283,1,2394,0.0010000000000000009
56998,-12497,27142,138800,-16083,28534,132041,79,19459,324,1,2395,0.0010000000000000009
57998,9278,-22041,122395,88,-26941,113116,75,19460,307,1,2396,0.000999999999999994
58998,-7138,-19486,129243,-16186,-23483,152395,70,19450,287,0,2397,0.0010000000000000009
