t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,-1752,-10236,125264,840,-12526,129878,330,19190,1225,1,49960,
1001,-4385,-2778,130167,-9606,599,128487,330,19188,1352,0,49961,0.001001
1998,-7062,4874,131316,-13357,5382,129512,375,19225,1536,0,49962,0.0009969999999999998
2998,5326,5370,128723,3685,7679,122663,260,19197,1065,0,49963,0.001
4000,4164,5069,126517,-2205,-9529,130551,292,19189,1196,0,49964,0.0010020000000000003
4998,-1876,-9749,126411,772,-10180,132041,323,19189,1196,0,49965,0.0009979999999999998
5998,3108,-5345,128893,-5840,7182,124405,379,19186,1323,0,49966,0.001
6998,-4735,13526,131300,-18385,13190,122935,379,19178,1552,1,49967,0.001
7998,1428,14101,128287,8315,2019,126382,169,19208,692,1,49968,0.001
8998,2091,-4782,125082,4385,-11274,130494,263,19198,1077,1,49969,0.0009999999999999992
9998,421,-13034,124878,-9414,-15744,132476,297,19193,1216,1,49970,0.0010000000000000009
10998,4426,-5763,129038,-2804,1070,129120,350,19193,1433,0,49971,0.0009999999999999992
11998,-3689,7833,131814,963,16765,120788,185,19191,1433,0,49972,0.0010000000000000009
12998,8046,20511,130299,-1507,8628,123593,263,19215,758,0,49973,0.0009999999999999992
13998,1489,4401,127471,-9421,-5002,126723,263,19194,1077,0,49974,0.0010000000000000009
14998,551,-10976,125475,3926,-14073,133441,289,19196,1184,0,49975,0.0009999999999999992
15998,1365,-12626,126191,2793,-9055,132437,332,19189,1360,1,49976,0.0009999999999999992
17000,-4800,1680,130875,-6690,13061,122368,172,19189,704,1,49977,0.0010019999999999994
17998,11020,21263,130833,755,18734,119481,271,19208,704,1,49978,0.0009980000000000024
18998,3392,8093,127871,6392,-1946,127954,290,19196,1110,1,49979,0.0009999999999999974
19998,3109,-6592,126436,-1248,-13413,133335,290,19200,1188,1,49980,0.0010000000000000009
20999,5421,-13618,128461,-2672,-9978,135293,316,19187,1294,1,49981,0.0010010000000000019
21998,-4946,2540,130335,-1256,9721,123048,383,19221,1569,0,49982,0.0009989999999999999
22998,5009,15386,126556,-2993,13186,118645,253,19203,1036,0,49983,0.0009999999999999974
23998,3571,9337,128224,122,1632,126950,291,19203,1036,0,49984,0.0010000000000000009
24998,1882,-4056,125139,-158,-10170,130672,334,19201,1192,0,49985,0.0010000000000000009
25999,7245,-12509,124662,4337,-11067,133420,334,19182,1368,1,49986,0.0010009999999999984
26998,-5502,8428,133047,-5333,17775,118011,390,19217,1597,1,49987,0.0009989999999999999
27998,9195,20713,129549,-5296,11402,126775,231,19207,946,1,49988,0.0010000000000000009
28998,7210,6942,129281,3865,1086,125085,267,19190,1094,1,49989,0.0010000000000000009
29998,-638,-12400,123857,3447,-20121,135269,307,19190,1094,1,49990,0.0010000000000000009
30998,6427,-15218,125786,1541,-9282,130229,238,19182,1257,0,49991,0.0009999999999999974
31998,-5289,10533,131988,-4405,22202,117673,238,19216,975,0,49992,0.0010000000000000009
32998,7591,26773,127134,-10338,18891,122868,271,19195,1110,0,49993,0.0010000000000000009
33998,-1646,11755,128057,2985,8065,121264,298,19190,1221,0,49994,0.0010000000000000009
34998,-2870,-8304,123945,4430,-18649,136793,321,19187,1315,0,49995,0.0010000000000000009
35999,3445,-22876,126551,-9123,-18514,133689,375,19187,1315,0,49996,0.001000999999999995
37001,929,5657,132341,-4175,10563,122165,292,19177,1536,1,49997,0.0010020000000000029
38000,1666,10862,130290,5659,10466,128153,292,19217,1196,1,49998,0.0009989999999999999
38999,7877,16708,128443,-2923,15087,118290,273,19198,1118,1,49999,0.0009989999999999999
39998,-2896,1863,125138,-7166,-7526,130777,311,19194,1274,1,50000,0.0009989999999999999
40998,-456,-13934,124443,1856,-13436,134576,366,19205,1499,0,50001,0.0010000000000000009
41998,-9576,1347,126046,-4776,1430,121714,243,19205,1499,0,50002,0.0010000000000000009
42998,6591,13610,130217,-10363,17229,120874,281,19201,995,0,50003,0.0010000000000000009
43998,-1966,12347,127997,653,5651,126189,281,19192,1151,0,50004,0.000999999999999994
44998,-1794,-1954,127563,4623,-3323,128867,305,19189,1249,0,50005,0.0010000000000000009
45998,1820,-3280,127345,-15950,-5115,130641,353,19209,1446,1,50006,0.0010000000000000009
