t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,329,-4252,131079,7520,-14264,132010,88,19468,360,1,54462,
1002,-1579,-406,132951,-3643,2460,128866,77,19468,315,1,54463,0.0010019999999999999
2000,1632,2820,131793,2961,-5642,127619,85,19470,315,0,54464,0.0009980000000000002
3000,391,5547,127337,-480,1834,126278,100,19465,348,0,54465,0.001
4000,5812,6073,132490,-6724,-3109,129983,100,19465,410,0,54466,0.001
5000,4768,-8921,127995,4696,-15400,131833,85,19463,348,1,54467,0.001
6000,-3150,4880,134209,5195,4859,117889,100,19470,410,1,54468,0.001
7000,4876,6742,129716,62,-3103,138728,88,19469,360,1,54469,0.0009999999999999992
8000,-6263,-8287,125208,888,-7031,132213,89,19469,360,0,54470,0.0010000000000000009
9000,5991,19353,133102,-25859,5112,113951,93,19462,365,0,54471,0.0009999999999999992
10000,4129,2407,131293,21867,-2906,135936,93,19467,381,0,54472,0.0010000000000000009
11000,-12876,-4546,132477,3184,-7348,124217,83,19468,340,1,54473,0.0009999999999999992
12000,-364,-16914,122999,-35435,-22293,136717,92,19474,377,1,54474,0.0010000000000000009
13000,-7192,15893,130829,10459,20298,124533,99,19464,405,1,54475,0.0009999999999999992
14000,6572,27734,128262,-4440,19769,109530,90,19464,405,1,54476,0.0009999999999999992
15000,-5398,-7437,123713,-4889,-11918,138024,112,19467,369,0,54477,0.0010000000000000009
16000,-3276,4612,129522,-12647,1160,124962,112,19460,459,0,54478,0.0010000000000000009
17000,4143,-6319,124750,2203,-10247,127085,98,19468,401,0,54479,0.0009999999999999974
18000,-741,9547,129903,232,7412,127209,88,19462,360,1,54480,0.0010000000000000009
19000,-6874,-816,124140,-9008,-6787,125076,97,19466,397,1,54481,0.0010000000000000009
20000,-5751,7256,123902,-6847,6485,123532,93,19466,397,1,54482,0.0010000000000000009
21000,-849,6649,129040,-13300,3166,121478,84,19468,381,0,54483,0.0009999999999999974
22002,152,479,124895,13590,-2302,126170,84,19466,344,0,54484,0.0010020000000000029
23000,-629,7136,125465,-7454,4395,120530,92,19464,377,0,54485,0.0009979999999999989
24002,1891,1966,126101,-6235,-487,124179,94,19470,385,0,54486,0.0010019999999999994
25002,6407,-599,124378,9560,-3490,131183,96,19457,393,1,54487,0.0010000000000000009
26000,-1427,-10322,121196,-3449,-14128,125371,75,19457,393,1,54488,0.0009979999999999989
27000,-1663,20297,130242,-2856,17458,118589,87,19465,307,1,54489,0.0010000000000000009
28001,2533,757,124820,-2092,-1185,126365,87,19469,356,0,54490,0.0010009999999999984
29000,2489,-1370,126448,1793,-5144,126208,104,19465,426,0,54491,0.0009989999999999999
30000,1481,3952,126037,449,195,131765,98,19468,401,0,54492,0.0010000000000000009
31000,3327,3339,125565,2073,1537,115721,76,19467,311,1,54493,0.0010000000000000009
32000,5322,6806,128415,8614,4548,121584,66,19467,311,1,54494,0.0010000000000000009
33000,6541,-21987,120499,806,-26946,135076,105,19468,270,1,54495,0.0010000000000000009
34000,657,10671,127976,-455,2820,118902,105,19464,430,1,54496,0.000999999999999994
35000,4376,11427,127137,5913,11100,127386,92,19463,377,0,54497,0.0010000000000000009
36000,3229,-3061,126972,-4242,-7873,128381,119,19464,487,0,54498,0.0010000000000000009
37000,6172,5553,129107,8784,1640,130854,92,19471,377,0,54499,0.0010000000000000009
38000,4384,-18496,125287,-2666,-20671,127865,88,19471,360,1,54500,0.0010000000000000009
39000,1085,10283,133114,4769,5398,127142,71,19463,360,1,54501,0.0010000000000000009
40000,3625,-9164,126996,5072,-11625,131321,85,19467,291,1,54502,0.0010000000000000009
41000,2460,7816,130985,-4109,-1573,127404,85,19473,348,0,54503,0.000999999999999994
42000,1349,6707,131768,1923,8535,133625,86,19469,352,0,54504,0.0010000000000000009
43001,-47,-4549,128187,-1770,-3382,122988,98,19467,401,0,54505,0.0010010000000000019
44000,1617,6367,132974,5249,-1571,130696,81,19467,332,0,54506,0.0009989999999999999
45000,3938,-3176,127750,-6074,-5341,134818,111,19469,332,1,54507,0.0010000000000000009
46000,2672,-2234,129657,-4185,-4174,123150,86,19469,455,1,54508,0.0010000000000000009
47000,-1012,13581,131196,617,7904,127420,86,19466,352,1,54509,0.0010000000000000009
48000,1105,2848,130934,-22138,-6023,132440,85,19466,348,0,54510,0.0010000000000000009
49003,669,13053,133383,2490,5800,120156,101,19465,414,0,54511,0.001002999999999997
50000,-1125,-9702,129182,15880,-15169,140115,93,19465,381,0,54512,0.0009969999999999979
51000,-8117,-3635,132031,-15317,538,122805,77,19468,381,1,54513,0.0010000000000000009
52000,-3801,10283,127894,-13951,4167,123991,79,19472,315,1,54514,0.0010000000000000009
53000,-199,-823,129168,9436,-1116,132116,79,19470,324,1,54515,0.0010000000000000009
54000,-6079,20128,131157,-10371,18301,117092,100,19468,410,1,54516,0.0010000000000000009
55000,947,-4232,127923,-12466,-9783,133667,97,19458,397,0,54517,0.0010000000000000009
56001,-1100,12434,129156,2953,2181,124354,94,19464,385,0,54518,0.001000999999999995
57002,1683,1905,126841,-3883,-3528,127624,89,19464,385,0,54519,0.0010010000000000019
58000,-1685,3338,131793,-3149,-248,123807,108,19468,365,1,54520,0.0009979999999999989
59000,-9013,2038,127870,-4794,-7422,128365,108,19468,442,1,54521,0.0010000000000000009
60002,-3141,1286,128770,-12330,2285,125773,89,19465,365,1,54522,0.0010020000000000029
61000,-3826,32168,130530,641,26495,112310,83,19468,340,0,54523,0.0009979999999999989
62000,4686,-1871,120978,120,-4274,133046,91,19465,373,0,54524,0.0010000000000000009
63000,-2937,1643,128387,221,1288,124229,101,19465,373,0,54525,0.0010000000000000009
64000,7199,182,124036,-4114,-3106,125532,85,19466,414,0,54526,0.0010000000000000009
65000,2948,9946,130837,6968,8322,122227,85,19463,348,1,54527,0.0010000000000000009
66002,-2886,-3968,126143,1202,-7661,131491,114,19468,467,1,54528,0.001001999999999989
67000,4754,-4914,123143,-11268,-5983,129229,89,19466,365,1,54529,0.0009979999999999989
68002,-1041,16506,130240,9379,10405,117226,92,19461,377,0,54530,0.0010020000000000029
69000,6921,5797,123537,-4608,483,128396,93,19461,377,0,54531,0.0009979999999999989
70000,-2208,3258,130576,3023,1981,122198,84,19468,381,0,54532,0.0010000000000000009
71000,5133,-7833,128101,4826,-11653,131038,84,19470,344,1,54533,0.0010000000000000009
72000,8210,3784,126932,3055,1190,124961,86,19473,352,1,54534,0.0010000000000000009
73000,-1398,9990,128550,13534,8585,116396,96,19464,393,1,54535,0.0010000000000000009
74000,7470,-7731,121018,-10649,-11770,137322,93,19466,381,1,54536,0.0010000000000000009
75000,2424,14673,132964,5015,12047,122469,109,19466,381,0,54537,0.0010000000000000009
76002,4957,6516,129434,8674,4704,124763,96,19460,446,0,54538,0.0010020000000000029
77002,4043,-4107,127287,-1397,-6921,129702,96,19467,393,0,54539,0.0010000000000000009
78002,3042,-2709,130078,2278,-4942,129134,82,19465,336,1,54540,0.0010000000000000009
79000,8414,-5133,126227,7734,-10754,135626,93,19470,381,1,54541,0.0009979999999999989
80000,-100,-4924,132927,3886,-7925,122376,86,19470,352,1,54542,0.0010000000000000009
81000,4504,6077,130827,-5833,6305,128148,79,19470,324,0,54543,0.0010000000000000009
82001,2536,-1791,127147,6456,-6206,132671,90,19469,324,0,54544,0.001000999999999988
83000,-1389,3140,131743,-1190,-412,124741,92,19461,369,0,54545,0.0009989999999999999
84001,5577,2402,127372,-5122,-1419,133550,92,19467,377,0,54546,0.0010010000000000019
85000,704,-15038,126341,3950,-9232,125420,91,19457,373,1,54547,0.0009989999999999999
86000,-846,6103,132523,1678,-426,130261,72,19468,295,1,54548,0.0010000000000000009
87000,6583,-1289,126172,-3536,-249,137287,85,19468,348,1,54549,0.0010000000000000009
88000,-8226,12305,130306,12098,6407,112686,101,19466,348,0,54550,0.0010000000000000009
89000,11375,12662,125423,-31611,6399,134766,96,19465,414,0,54551,0.0010000000000000009
90000,-3718,-5407,132344,11028,-7024,131459,96,19466,393,0,54552,0.0010000000000000009
91001,-6124,-10335,125944,19165,-13109,127490,77,19469,315,1,54553,0.0010010000000000019
92002,-2406,-14991,125809,-35780,2645,135676,72,19470,295,1,54554,0.0010010000000000019
93000,-8650,28466,133512,3185,31472,108540,101,19470,414,1,54555,0.0009979999999999989
94003,10011,14720,122944,-2643,3185,130023,89,19464,414,1,54556,0.00100299999999999
95000,-6890,-5326,125653,-5940,-6130,132663,121,19466,365,0,54557,0.0009970000000000118
96000,-1431,5183,129544,-14312,3734,119486,121,19464,496,0,54558,0.0010000000000000009
97002,4867,-20332,126567,8617,-9659,131658,96,19467,393,0,54559,0.001001999999999989
98002,-7217,7923,135412,-6628,-2858,130556,92,19460,377,1,54560,0.0010000000000000009
99002,-2136,-6443,121101,-5097,-9642,130305,74,19465,303,1,54561,0.0010000000000000009
100000,-12877,12841,128491,-7537,16368,117809,86,19465,303,1,54562,0.0009979999999999989
101000,1778,16888,126633,-15030,9146,125651,87,19467,352,0,54563,0.0010000000000000009
102000,2150,-2169,125254,18842,-2506,122136,87,19468,356,0,54564,0.0010000000000000009
103000,-5985,7902,126223,-11782,6103,124850,101,19465,414,0,54565,0.0010000000000000009
104000,6234,1544,125327,-8580,2538,129766,88,19469,360,0,54566,0.0010000000000000009
105000,1641,2982,125054,11862,-1287,123894,112,19463,459,1,54567,0.0010000000000000009
106000,5529,1702,123266,-2170,533,125662,88,19463,459,1,54568,0.0010000000000000009
107000,-4848,12796,129165,-7886,10979,119937,87,19468,360,1,54569,0.0010000000000000009
108000,2437,12075,128604,-3613,6029,128236,87,19464,356,0,54570,0.0010000000000000009
109000,6286,-7563,122805,10690,-5466,126200,106,19464,434,0,54571,0.0010000000000000009
110001,-889,1124,129440,-831,-4571,129488,95,19468,389,0,54572,0.0010010000000000019
111000,10544,2767,121776,2287,-484,123381,77,19470,315,1,54573,0.0009989999999999999
112000,689,5469,133169,13981,3303,123548,78,19470,315,1,54574,0.000999999999999987
113000,7644,-10889,126528,-6190,-16562,139241,102,19462,319,1,54575,0.0010000000000000009
114000,-1882,12271,131394,12013,12421,112269,102,19471,418,1,54576,0.0010000000000000009
115000,4256,11286,131646,-5592,6298,129245,94,19459,385,0,54577,0.0010000000000000009
116000,4732,2589,126190,-3704,105,138073,100,19464,410,0,54578,0.0010000000000000009
117001,3500,-490,132959,13219,-3953,121720,87,19467,356,0,54579,0.0010010000000000019
118002,6215,-7100,126324,1431,-11352,135426,105,19467,356,1,54580,0.0010010000000000019
119000,348,8660,135861,1720,5998,115333,88,19467,430,1,54581,0.0009979999999999989
120000,4742,-5211,131799,2804,-9191,142367,88,19466,360,1,54582,0.0010000000000000009
121000,6653,10657,125473,4234,5425,127155,79,19469,324,0,54583,0.0010000000000000009
122003,-395,8120,134346,-1329,5630,127230,85,19467,348,0,54584,0.0010030000000000039
123002,2967,-5667,123343,-1791,-9144,128742,99,19467,405,0,54585,0.0009989999999999999
124002,1193,9293,136402,7269,7591,124162,81,19467,405,0,54586,0.0010000000000000009
125001,3134,-9575,129857,-7536,-12791,142967,112,19466,332,1,54587,0.0009989999999999999
126000,2831,5324,128605,5232,359,114193,112,19468,459,1,54588,0.0009989999999999999
127002,-1719,10143,133995,8299,12703,128511,85,19469,348,1,54589,0.0010020000000000029
128000,3548,-6649,125128,-14666,-13727,146821,86,19463,352,0,54590,0.0009979999999999989
129001,-184,12977,136923,-9727,10138,111963,92,19463,377,0,54591,0.0010010000000000019
130000,-2338,-9421,132208,14112,-9683,138425,86,19463,352,0,54592,0.0009989999999999999
131000,-5112,6787,128936,-12133,2279,120413,89,19472,352,1,54593,0.0010000000000000009
132000,-4227,-10195,130519,-10653,-10450,135470,93,19473,365,1,54594,0.0010000000000000009
133000,-3705,15757,127001,4384,5795,118458,93,19466,381,1,54595,0.0010000000000000009
134000,-2107,22799,133607,-10351,23267,125353,92,19467,377,1,54596,0.0009999999999999731
135002,-926,-4923,125291,-4840,-7937,126954,107,19460,438,0,54597,0.0010020000000000029
136000,-636,-1902,127339,-2128,-3184,134897,100,19460,410,0,54598,0.0009979999999999989
137001,-2053,1312,128254,-4078,-5901,116254,86,19469,410,0,54599,0.0010010000000000019
138000,829,6506,124795,-4805,2519,133337,108,19465,352,1,54600,0.0009989999999999999
139000,-6560,-18953,123678,-1329,-13904,132621,108,19470,442,1,54601,0.0010000000000000009
140000,-3811,16733,129094,-11853,22396,109674,89,19467,365,1,54602,0.0010000000000000009
141000,93,11057,124943,-6346,-538,134714,82,19466,336,0,54603,0.0010000000000000009
142000,-2040,3621,126651,4812,5044,118586,90,19466,369,0,54604,0.0010000000000000009
143003,1796,-3508,121120,-1838,-8717,134473,95,19465,369,0,54605,0.0010030000000000039
144000,3808,-2866,126342,-5431,-7179,113626,91,19467,389,0,54606,0.0009969999999999979
145000,853,16849,130217,3867,5760,126227,91,19458,373,1,54607,0.0010000000000000009
146000,646,-17782,121958,-4521,-17592,135463,82,19468,336,1,54608,0.0010000000000000009
147000,-3301,19533,129124,-4388,17243,110412,91,19463,373,1,54609,0.0010000000000000009
148000,2212,3557,122558,3834,-4226,137417,103,19465,422,0,54610,0.0010000000000000009
149000,3797,4919,124461,-5547,2790,113928,99,19465,422,0,54611,0.0010000000000000009
150002,5345,2351,124785,12251,-4329,136031,79,19466,405,0,54612,0.0010020000000000029
151000,7501,-8414,122322,8519,-505,127940,79,19470,324,1,54613,0.0009979999999999989
152001,3251,9002,127825,4121,6429,117473,74,19469,303,1,54614,0.0010010000000000019
153000,5358,-8339,119920,-6002,-12692,140075,105,19461,430,1,54615,0.0009989999999999999
154000,3393,9529,128436,7308,11036,117514,91,19464,373,1,54616,0.0010000000000000009
155000,5488,10684,126975,8878,9531,129598,124,19464,373,0,54617,0.0010000000000000009
156002,2017,-16235,126244,-14277,-21428,126235,93,19466,508,0,54618,0.0010020000000000029
157001,3032,-19,132422,11196,-5269,132438,93,19465,381,0,54619,0.0009989999999999999
158001,7958,-7314,125899,5781,-9547,132541,86,19459,352,1,54620,0.0010000000000000009
159000,690,7817,130595,5873,5161,116073,71,19467,291,1,54621,0.0009989999999999999
160000,1791,1692,127930,-5879,-4954,138769,86,19470,352,1,54622,0.0010000000000000009
161000,5792,-968,131596,-262,-3600,125683,82,19470,352,0,54623,0.0010000000000000009
162001,672,10563,133242,15100,8466,127828,100,19469,336,0,54624,0.0010010000000000019
163000,-258,6772,129242,-8334,7234,129408,100,19462,410,0,54625,0.0009989999999999999
164000,2382,-7457,126949,2725,-12250,130423,85,19469,348,0,54626,0.0009999999999999731
165000,1717,-4064,128283,9081,-5765,132839,108,19465,442,1,54627,0.0010000000000000009
166002,7550,6827,129270,-14953,2683,127494,92,19465,377,1,54628,0.0010020000000000029
167007,-4330,18554,132530,19736,16711,120792,87,19465,377,1,54629,0.0010050000000000059
168002,-465,-10285,131705,-22304,-13637,131539,105,19464,356,0,54630,0.0009949999999999959
169000,3896,-7795,133123,-12819,-13064,137548,105,19464,430,0,54631,0.0009979999999999989
170000,-8451,4857,130866,25101,2821,124450,96,19470,393,0,54632,0.0010000000000000009
171000,1280,-12244,126035,-19404,-16126,129722,78,19467,319,1,54633,0.0010000000000000009
172000,-9570,12791,132597,-7978,11054,128372,75,19469,307,1,54634,0.0010000000000000009
173000,1867,5435,130156,-4444,4694,117987,101,19469,307,1,54635,0.0010000000000000009
174001,-2442,16309,130352,363,15853,126996,91,19462,414,1,54636,0.0010010000000000019
