t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,5525,-11369,119297,-1068,-4939,126721,592,19149,2425,0,2390,
1003,-4447,10568,125422,-6148,28079,104672,601,19149,2425,1,2391,0.001003
2002,6006,4591,120473,2494,-22694,131007,518,19193,2462,1,2392,0.0009989999999999999
3000,7842,-14840,116283,17066,15248,109751,518,19164,2122,0,2393,0.0009980000000000002
4000,-12,15183,118721,1526,-11247,121071,559,19170,2289,0,2394,0.001
5000,10105,-18390,117093,-14727,-1232,118670,594,19152,2433,1,2395,0.001
6000,6473,29571,127500,27268,20142,109860,482,19186,1974,1,2396,0.001
7000,11342,-18392,120830,8914,-26031,139833,525,19186,1974,1,2397,0.0009999999999999992
8000,-9505,-4014,120533,-35883,7751,110492,687,19163,2150,0,2398,0.0010000000000000009
9000,-5801,5050,122748,12084,6548,128756,687,19185,2814,0,2399,0.0009999999999999992
10000,4305,21013,118422,7949,28245,107045,554,19163,2269,1,2400,0.0010000000000000009
11000,1415,11390,123308,-14098,-2603,130531,707,19197,2896,1,2401,0.0009999999999999992
12000,8529,-20889,119746,-6582,-3511,136741,499,19165,2044,1,2402,0.0010000000000000009
13000,4921,16540,128488,6939,9763,117965,640,19165,2044,0,2403,0.0009999999999999992
14000,353,-4131,128385,-4474,-4722,140394,557,19191,2621,0,2404,0.0009999999999999992
15006,-5833,3635,134130,-4762,7440,133428,557,19164,2281,0,2405,0.001006
16002,-13163,-7607,128102,-16283,3202,133634,661,19154,2707,1,2406,0.0009960000000000004
17000,-92,17647,138099,-9618,16052,127495,436,19172,1786,1,2407,0.0009979999999999989
18003,-3656,5980,130878,2220,-865,138992,611,19161,2502,0,2408,0.0010030000000000004
19001,-4089,4873,132718,-7512,13,129846,500,19161,2048,0,2409,0.0009980000000000024
20000,-194,4781,137506,-4461,-2852,138384,620,19165,2048,1,2410,0.0009989999999999999
21000,-1780,-1943,137321,-4006,-2368,144398,447,19176,2539,1,2411,0.0009999999999999974
22000,9914,5692,137226,4960,1606,128305,447,19160,1831,1,2412,0.0010000000000000009
23000,-8062,-5150,131397,-13906,-4238,139092,569,19145,2330,0,2413,0.0010000000000000009
24002,-3115,5002,134164,-7277,2013,130400,531,19172,2175,0,2414,0.0010019999999999994
25002,-2763,-5659,124361,11721,-5639,133247,595,19172,2437,1,2415,0.0010000000000000009
26000,2940,4694,130392,-15508,66,130866,412,19152,2437,1,2416,0.0009979999999999989
27000,8713,4163,127609,9944,4049,130008,534,19181,1687,1,2417,0.0010000000000000009
28000,7351,766,126705,12296,-12489,123459,534,19153,2187,0,2418,0.0009999999999999974
29000,7689,-6327,127873,3309,-2176,128267,439,19163,1798,0,2419,0.0010000000000000009
30000,540,147,127646,868,-4816,119414,596,19153,2441,0,2420,0.0010000000000000009
31000,29,3770,124797,-321,3228,117685,656,19153,2687,1,2421,0.0010000000000000009
32000,1126,6319,124135,8031,401,114339,518,19191,2687,1,2422,0.0010000000000000009
33000,6071,18195,124041,8628,2368,111307,574,19162,2122,0,2423,0.0010000000000000009
34002,6395,-1760,115973,11104,-27142,129716,574,19174,2351,0,2424,0.001001999999999996
35002,5198,-6617,127017,-9435,16999,104305,582,19147,2384,1,2425,0.0010000000000000009
36000,11016,27047,127615,12201,-9129,131996,490,19186,2007,1,2426,0.0009979999999999989
37000,2177,-16981,122577,-12839,-2305,115726,526,19162,2154,1,2427,0.0010000000000000009
38001,-4653,10105,127999,-22290,-789,122116,685,19162,2154,0,2428,0.0010010000000000019
39000,-6351,-1549,120962,28698,2595,123024,552,19179,2806,0,2429,0.0009989999999999999
40000,-1781,26146,123846,-24084,30485,98915,552,19158,2261,1,2430,0.0010000000000000009
41003,6082,10278,130883,-3542,-21747,147010,690,19193,2826,1,2431,0.001002999999999997
42002,7904,-12225,122796,13502,-1268,115859,487,19165,1995,1,2432,0.0009989999999999999
43003,3046,17767,131523,-20359,3724,129081,630,19189,2580,0,2433,0.0010010000000000019
44001,1368,-11819,131656,1548,-9854,141271,560,19189,2580,0,2434,0.0009979999999999989
45002,-4912,13432,136861,-2043,14501,124192,655,19161,2294,0,2435,0.0010010000000000019
46000,-11809,-6797,132802,-26889,-901,135705,655,19153,2683,1,2436,0.0009979999999999989
47000,827,21444,136761,-7632,8009,130027,421,19172,1724,1,2437,0.0010000000000000009
48000,-3006,-1995,133369,7087,-10540,135046,597,19153,2445,0,2438,0.0010000000000000009
49000,-4046,-656,132602,-7675,-1987,133721,480,19166,1966,0,2439,0.000999999999999994
50001,622,4882,136485,-9511,-10414,142676,612,19166,1966,1,2440,0.0010010000000000019
51001,-4775,2952,139268,4545,-2135,131206,439,19189,2507,1,2441,0.0010000000000000009
52000,10658,7256,132563,-6266,-10320,141653,439,19174,1798,1,2442,0.0009989999999999999
53000,-8234,-7453,133338,-5680,-1673,128834,573,19150,2347,0,2443,0.0010000000000000009
54000,-3635,18494,131299,5380,10241,123121,566,19174,2318,0,2444,0.0010000000000000009
55000,266,-22044,123750,-5956,-14980,143472,585,19151,2396,1,2445,0.0010000000000000009
56002,697,10953,132594,48,9213,120316,440,19151,2396,1,2446,0.001001999999999996
57000,14642,-7539,121358,8668,-7936,131760,531,19180,1802,1,2447,0.0009979999999999989
58000,3505,-842,123052,789,2830,120793,531,19156,2175,0,2448,0.0010000000000000009
59002,9079,-3537,124771,8837,-12746,132683,465,19171,1905,0,2449,0.0010020000000000029
60000,3285,-15072,119966,-3432,-15201,126827,593,19149,2429,1,2450,0.0009979999999999989
