t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,2392,0,128582,-1992,4937,124628,84,19232,344,1,60941,
998,-532,0,128369,-4270,783,127920,91,19230,373,0,60942,0.000998
1998,-2514,0,128169,-952,3028,128360,94,19239,385,0,60943,0.0009999999999999998
2998,2565,0,126307,1376,-2518,127279,70,19232,287,0,60944,0.001
4001,1765,0,127651,-630,-3373,126822,77,19232,287,0,60945,0.0010030000000000004
5000,3079,0,128558,3084,-1339,126741,77,19232,315,0,60946,0.0009989999999999999
5998,2143,0,127673,-1654,-890,128161,77,19235,315,0,60947,0.0009979999999999998
6998,1677,0,129205,-2232,2470,127697,75,19236,307,0,60948,0.001
7998,617,0,127493,234,2418,125638,73,19238,299,0,60949,0.001
8998,-176,0,128115,-1288,179,124333,75,19235,307,0,60950,0.0009999999999999992
9998,1541,0,127324,-140,-7740,131165,80,19235,328,0,60951,0.0010000000000000009
10998,-599,0,127580,-444,-5334,127496,85,19231,328,1,60952,0.0009999999999999992
11998,2740,0,127959,-1367,3371,124824,63,19238,348,1,60953,0.0010000000000000009
12998,2224,0,127425,439,2957,125352,63,19236,258,1,60954,0.0009999999999999992
13999,924,0,127719,486,218,127984,73,19234,299,1,60955,0.0010010000000000002
14998,924,0,125820,-1575,-6747,127638,71,19237,291,1,60956,0.0009989999999999999
15998,892,0,129347,731,2394,127543,69,19237,283,1,60957,0.0009999999999999992
16998,1730,0,127361,-1733,-2088,125462,69,19233,283,1,60958,0.0010000000000000009
17998,-248,0,129619,2137,442,127920,70,19237,283,1,60959,0.0010000000000000009
18998,-485,0,127935,-1640,-611,128652,70,19234,287,1,60960,0.0009999999999999974
19998,1270,0,127632,-2276,2516,124115,77,19232,315,0,60961,0.0010000000000000009
20998,2382,0,128656,82,1176,127168,67,19238,274,0,60962,0.0010000000000000009
21998,4713,0,127850,1017,-3177,126686,72,19238,295,0,60963,0.0010000000000000009
22998,-1223,0,128126,-383,-3299,129681,79,19231,295,0,60964,0.0009999999999999974
23998,-1462,0,127530,-344,-5123,126916,80,19234,324,0,60965,0.0010000000000000009
24998,-552,0,128593,-4357,3073,125472,80,19234,328,0,60966,0.0010000000000000009
25999,2048,0,127792,-2037,1905,126134,75,19233,307,0,60967,0.0010009999999999984
26998,549,0,128238,-289,584,126528,70,19237,287,0,60968,0.0009989999999999999
27998,1279,0,127132,-117,-7651,128782,73,19233,299,0,60969,0.0010000000000000009
28998,1334,0,128446,-342,-1663,129111,76,19233,299,0,60970,0.0010000000000000009
29998,717,0,129676,3743,-2418,125588,80,19227,311,0,60971,0.0010000000000000009
30998,-1102,0,128002,-5413,2098,125754,80,19234,328,1,60972,0.0009999999999999974
31998,-2532,0,128947,1287,-484,129162,89,19240,365,1,60973,0.0010000000000000009
32998,2953,0,126092,1284,13,123438,61,19235,250,1,60974,0.0010000000000000009
33998,1675,0,127516,-1371,-1277,127290,70,19235,287,1,60975,0.0010000000000000009
